dataset,model,top_k_overlap_loss,rank_disagreement,distribution_shift,importance_reallocation,explanation_drift_score
original,logistic_regression,0.0,0.0,0.0,0.0,0.0
age_moderate,logistic_regression,0.0,0.0004940711462450564,0.012423514698702893,0.000928032206735445,0.0034614045129208485
age_severe,logistic_regression,0.0,0.00494071146245062,0.023901165282834886,0.024880530259991384,0.013430601751319222
credit_limit_moderate,logistic_regression,0.0,0.0,0.009722558881130295,0.019903435305980623,0.00740649854677773
credit_limit_severe,logistic_regression,0.0,0.0004940711462450564,0.016404326616026265,0.07392275440027235,0.02270528804063592
payment_amount_moderate,logistic_regression,0.09999999999999998,0.0019762845849801702,0.02304192945638232,0.009157138208012968,0.03354383806234386
payment_amount_severe,logistic_regression,0.09999999999999998,0.0014822134387351138,0.03225413960072422,0.011446172051266416,0.03629563127268143
mixed_moderate,logistic_regression,0.09999999999999998,0.005434782608695621,0.06576834017817607,0.022227938199172865,0.048357765246511135
mixed_severe,logistic_regression,0.09999999999999998,0.01037549407114624,0.11998037086557779,0.09339674351491664,0.08093815211291017
original,gradient_boosting,0.0,0.0,0.0,0.0,0.0
age_moderate,gradient_boosting,0.0,0.0,0.0278650590857474,0.002846048978214771,0.0076777770159905424
age_severe,gradient_boosting,0.0,0.006422924901185734,0.05559770424179104,0.010989194943580586,0.01825245602163934
credit_limit_moderate,gradient_boosting,0.0,0.0004940711462450564,0.03990298901936912,0.011070492068147173,0.012866888058440336
credit_limit_severe,gradient_boosting,0.0,0.0039525691699604515,0.07743244089523828,0.023267547973903235,0.02616313950977549
payment_amount_moderate,gradient_boosting,0.0,0.0004940711462450564,0.0806593946181249,0.00850389248723099,0.022414339562900235
payment_amount_severe,gradient_boosting,0.0,0.005928853754940677,0.14258893155204333,0.017213865141242977,0.04143291261205675
mixed_moderate,gradient_boosting,0.0,0.037549407114624456,0.16394540910592018,0.05673088087146041,0.06455642427300126
mixed_severe,gradient_boosting,0.19999999999999996,0.091897233201581,0.2538875240487322,0.10296129039558459,0.16218651191147443
