feature,original,age_moderate,age_severe,credit_limit_moderate,credit_limit_severe,payment_amount_moderate,payment_amount_severe,mixed_moderate,mixed_severe
pay_0,0.5863700940974952,0.5863700940974952,0.5863700940974952,0.5917901444611137,0.6007839978475774,0.5764932257159097,0.5625423946208877,0.5733136276014649,0.569744212895905
limit_bal,0.19665955583577055,0.19640881451341322,0.19502307385846265,0.21726047518046085,0.23160937252821998,0.19742759288407183,0.19701955502489524,0.21271832794222365,0.2205281557084694
bill_amt1,0.12013320044263125,0.12090693318232723,0.12217198381021245,0.12247733566502762,0.12999305242761322,0.12010817073112356,0.11985363993138444,0.1690875839185669,0.1966211110315671
pay_amt2,0.09448426145682663,0.09399354125356019,0.09382675916665835,0.09403765447406949,0.09332964754233464,0.09257977341759505,0.09304203369010312,0.09697042413814148,0.1207282636623691
pay_3,0.09044273104016415,0.09015151125228729,0.09060840538870416,0.09017919103296171,0.08992674069462148,0.09153477670995958,0.09217468401364383,0.09313770433386369,0.09619484040043838
pay_amt3,0.0806275008626927,0.08147173759357895,0.0836069199418705,0.08179822356957758,0.08429932956787875,0.07441207901828151,0.07306887008883524,0.08859231706387663,0.11458394112800009
pay_2,0.07733434503034702,0.07733434503034702,0.07733434503034702,0.07583960364322787,0.07404488751854797,0.07748356327653674,0.07792120917460038,0.07737466012083967,0.07380369971680761
pay_6,0.06448269024557403,0.0642350186043066,0.06381221225968112,0.06509071779034607,0.06627536396043851,0.06412003194655112,0.06290467257808209,0.06154715558440337,0.05876693348948739
pay_amt1,0.061862837777699235,0.062409047639828345,0.0638445917093951,0.06187366571670784,0.061920938531231755,0.061025370971215104,0.061592607701006725,0.06112788606392672,0.07136533085544203
pay_4,0.05418249607397988,0.05451313468810355,0.05449049441119058,0.05390360033075919,0.053417265830440604,0.052009215365966185,0.0484283946779888,0.05427705442307788,0.05295224250229467
pay_5,0.0463131832124017,0.0463131832124017,0.0463131832124017,0.04561869934756713,0.044642700102178766,0.045842768879397075,0.04553968265654766,0.044891699610008516,0.04143758559775224
pay_amt6,0.04457289842796851,0.04414126378831402,0.04404615957047271,0.044551556682797804,0.04454806196140889,0.04535498122154081,0.04720316784779059,0.04284645687045331,0.04269722276291386
marriage,0.04149166366711841,0.04149177447833383,0.041493440167478114,0.04117471202643864,0.041029868043667615,0.03845407013813315,0.036368459912725144,0.038905929228223696,0.039060962852828285
pay_amt4,0.04033513844484023,0.04083449175389094,0.04180974300470342,0.04033513844484023,0.04033513844484023,0.03732247112524315,0.032375199992112316,0.045670150252325355,0.059682690665656984
bill_amt2,0.03631979712332709,0.03606133196792493,0.03531864518204388,0.038649293648837166,0.04458285676393446,0.03622437562343225,0.035520949673809116,0.05184953956304916,0.06396447091037642
bill_amt3,0.035349334097508546,0.035349334097508546,0.035349334097508546,0.033360511340509186,0.029925844147147038,0.03569505159664915,0.03651351996690353,0.03656365562000454,0.0480911114863874
sex,0.032645682479393645,0.03274924555139552,0.03304488978047378,0.03142447488972979,0.02918640925347857,0.033465631168755845,0.03415894825704935,0.0283912878486428,0.02595674349101651
pay_amt5,0.02975886242169783,0.02975886242169783,0.02975886242169783,0.029762586243327477,0.029769005039197435,0.028192011978316323,0.028338142123880004,0.029273756513792024,0.03385829840990897
age,0.021808176182303966,0.024677464690893523,0.03696579415470987,0.021861228461041445,0.02183184972717036,0.02183782664898223,0.021857192489045177,0.028129917096477653,0.044203016454111635
bill_amt6,0.0206950325881317,0.020651073734898523,0.020631321881162686,0.02032166426330185,0.0201445216212299,0.02099227956509815,0.021164322753007038,0.027482167514533442,0.03434679529203916
bill_amt4,0.020469138375693426,0.02021172299246386,0.02015180989562673,0.02047247572499932,0.020163379927544214,0.020546806298787197,0.020570017549861718,0.03581760769176808,0.05115499571291909
education,0.01637204190057696,0.016113643854515473,0.015902745595213978,0.01681060560962603,0.017287705817001012,0.017067006540500848,0.018127787278601544,0.016927753242431325,0.017862029977969072
bill_amt5,0.0158565580450009,0.015766315217920563,0.015761976249349705,0.015790241774970893,0.015616705740384049,0.015447511492528505,0.014810137914947568,0.04414690266453558,0.051986911533277974
