feature,original,age_moderate,age_severe,credit_limit_moderate,credit_limit_severe,payment_amount_moderate,payment_amount_severe,mixed_moderate,mixed_severe
pay_0,0.37236605643032816,0.37236605643032816,0.37236605643032816,0.37236605643032816,0.37236605643032816,0.37236605643032816,0.37236605643032816,0.37236605643032816,0.37236605643032816
bill_amt1,0.18399929889501707,0.18399929889501707,0.18399929889501707,0.18399929889501707,0.18399929889501707,0.18399929889501707,0.18399929889501707,0.1860175284951324,0.1931909624701458
limit_bal,0.1166677812037139,0.1166677812037139,0.1166677812037139,0.14862444944868106,0.24294219745727688,0.1166677812037139,0.1166677812037139,0.14926543494506314,0.24584873369464028
education,0.07630839232932894,0.07630839232932894,0.07630839232932894,0.07630839232932894,0.07630839232932894,0.07630839232932894,0.07630839232932894,0.07630839232932894,0.07630839232932894
pay_amt1,0.07241228652718124,0.07241228652718124,0.07241228652718124,0.07241228652718124,0.07241228652718124,0.06970491602477236,0.07174106260820619,0.06728343306827915,0.0620948741196462
marriage,0.0711506994665692,0.0711506994665692,0.0711506994665692,0.0711506994665692,0.0711506994665692,0.0711506994665692,0.0711506994665692,0.0711506994665692,0.0711506994665692
pay_2,0.06816755387624278,0.06816755387624278,0.06816755387624278,0.06816755387624278,0.06816755387624278,0.06816755387624278,0.06816755387624278,0.06816755387624278,0.06816755387624278
age,0.06738407802011898,0.06879102594669025,0.10607745172820757,0.06738407802011898,0.06738407802011898,0.06738407802011898,0.06738407802011898,0.06921932663632444,0.10678178595456372
pay_3,0.05977653456009419,0.05977653456009419,0.05977653456009419,0.05977653456009419,0.05977653456009419,0.05977653456009419,0.05977653456009419,0.05977653456009419,0.05977653456009419
pay_amt2,0.05926979867237904,0.05926979867237904,0.05926979867237904,0.05926979867237904,0.05926979867237904,0.05252883514573263,0.049647209411934914,0.049167593075614434,0.046803606984520435
sex,0.055991767892820336,0.055991767892820336,0.055991767892820336,0.055991767892820336,0.055991767892820336,0.055991767892820336,0.055991767892820336,0.055991767892820336,0.055991767892820336
bill_amt2,0.04730057269005008,0.04730057269005008,0.04730057269005008,0.04730057269005008,0.04730057269005008,0.04730057269005008,0.04730057269005008,0.04786047052525585,0.04975075935061426
pay_4,0.03896975682147189,0.03896975682147189,0.03896975682147189,0.03896975682147189,0.03896975682147189,0.03896975682147189,0.03896975682147189,0.03896975682147189,0.03896975682147189
bill_amt5,0.031053138345189475,0.031053138345189475,0.031053138345189475,0.031053138345189475,0.031053138345189475,0.031053138345189475,0.031053138345189475,0.03108032901976604,0.03208585593344087
bill_amt4,0.03100571453860409,0.03100571453860409,0.03100571453860409,0.03100571453860409,0.03100571453860409,0.03100571453860409,0.03100571453860409,0.03117542050021091,0.03230917917606324
bill_amt6,0.025842994860827005,0.025842994860827005,0.025842994860827005,0.025842994860827005,0.025842994860827005,0.025842994860827005,0.025842994860827005,0.025793881981028926,0.02646111223422942
bill_amt3,0.022992460531165205,0.022992460531165205,0.022992460531165205,0.022992460531165205,0.022992460531165205,0.022992460531165205,0.022992460531165205,0.023068786197221948,0.023893806577200534
pay_amt4,0.00974544814853148,0.00974544814853148,0.00974544814853148,0.00974544814853148,0.00974544814853148,0.007655421537140145,0.006548049897088582,0.007504883730721357,0.007205946515710906
pay_amt6,0.009014074570332382,0.009014074570332382,0.009014074570332382,0.009014074570332382,0.009014074570332382,0.008268197029491428,0.008094787707626302,0.00784882089074997,0.006962731466378651
pay_amt3,0.008840867096814305,0.008840867096814305,0.008840867096814305,0.008840867096814305,0.008840867096814305,0.006825166631262929,0.005681041547415794,0.006761844514929914,0.006074288886680835
pay_amt5,0.005635536126233205,0.005635536126233205,0.005635536126233205,0.005635536126233205,0.005635536126233205,0.005161341371075152,0.0050522974351823145,0.004999363357712771,0.004387944677557282
pay_5,0.005182501046690231,0.005182501046690231,0.005182501046690231,0.005182501046690231,0.005182501046690231,0.005182501046690231,0.005182501046690231,0.005182501046690231,0.005182501046690231
pay_6,0.00481921509306881,0.00481921509306881,0.00481921509306881,0.00481921509306881,0.00481921509306881,0.00481921509306881,0.00481921509306881,0.00481921509306881,0.00481921509306881
